question_id,category,mode,oom,exact_match,numeric_preservation,gold_recall,suffix_error,contradiction_accuracy,multi_fact_recall,kept_blocks,token_reduction_pct,selector_latency_ms,ttft_ms
Q0442,E,old_predictor,False,True,True,True,False,True,True,16,68.0,24.17550000245683,611.7519000035827
Q0442,E,new_predictor,False,True,True,True,False,True,True,5,90.0,29.850200000510085,71.36180000088643
Q0442,E,hybrid,False,True,True,True,False,True,True,5,90.0,13.330000001587905,107.85330000362592
Q0441,E,old_predictor,False,True,True,True,False,True,True,15,70.0,21.519300004001707,188.2049999985611
Q0441,E,new_predictor,False,True,True,True,False,True,True,5,90.0,23.77580000029411,98.80300000077114
Q0441,E,hybrid,False,True,True,True,False,True,True,5,90.0,11.375800000678282,71.3947000040207
Q0491,E,old_predictor,False,False,False,True,True,False,True,14,72.0,26.00870000605937,205.58429999800865
Q0491,E,new_predictor,False,True,True,True,False,True,True,5,90.0,22.050299994589295,136.15050000225892
Q0491,E,hybrid,False,True,True,True,False,True,True,5,90.0,11.984400000073947,65.74709999404149
Q0409,E,old_predictor,False,True,True,True,False,True,True,15,70.0,23.492099993745796,391.4809999987483
Q0409,E,new_predictor,False,True,True,True,False,True,True,5,90.0,23.636899997654837,133.88570000097388
Q0409,E,hybrid,False,True,True,True,False,True,True,5,90.0,12.607500000740401,154.80659999593627
Q0465,E,old_predictor,False,False,False,True,True,False,True,15,70.0,24.355100002139807,432.39489999541547
Q0465,E,new_predictor,False,True,True,True,False,True,True,5,90.0,24.050399995758198,145.17329999944195
Q0465,E,hybrid,False,True,True,True,False,True,True,5,90.0,14.037499997357372,141.44859999942128
Q0450,E,old_predictor,False,True,True,True,False,True,True,15,70.0,22.612900000240188,400.79770000011194
Q0450,E,new_predictor,False,True,True,True,False,True,True,5,90.0,22.797400000854395,155.67059999739286
Q0450,E,hybrid,False,True,True,True,False,True,True,5,90.0,12.284000004001427,166.089499994996
Q0401,E,old_predictor,False,True,True,True,False,True,True,15,70.0,28.730899997754022,323.39610000053653
Q0401,E,new_predictor,False,True,True,True,False,True,True,5,90.0,27.95620000688359,151.5224999966449
Q0401,E,hybrid,False,True,True,True,False,True,True,5,90.0,14.47369999368675,140.05840000027092
Q0470,E,old_predictor,False,True,True,True,False,True,True,14,72.0,24.85109999543056,338.4084999997867
Q0470,E,new_predictor,False,True,True,True,False,True,True,5,90.0,23.08669999911217,138.87879999674624
Q0470,E,hybrid,False,True,True,True,False,True,True,5,90.0,17.44499999767868,162.50310000032187
